Name,Salary,Team,Subposition,Opp,Ceil,Floor,Value
"Jakob Junis",7400,KCR,SP,CHW,0,0.548,17
"Odrisamer Despaigne",5300,LAA,SP,TEX,0,0.584,9.71
"Drew Hutchison",4900,TEX,SP,LAA,0,0,12.78
"Jack Flaherty",9800,STL,SP,MIL,0,0.459,17.54
"Freddy Peralta",8000,MIL,SP,STL,0,0.496,16.33
"Joey Lucchesi",7700,SDP,SP,ARI,0,0.654,13.44
"Robbie Ray",7600,ARI,SP,SDP,0,0.491,20.22
"Walker Buehler",9200,LAD,SP,SEA,0,0.616,17.43
"Wade LeBlanc",6900,SEA,SP,LAD,0,0.939,11.52
"Edwin Jackson",7800,OAK,SP,HOU,0,0.829,11.63
"Charlie Morton",10100,HOU,SP,OAK,0,0.589,19.78
"Sean Newcomb",7100,ATL,SP,COL,0,0.462,17.5
"Kyle Freeland",8100,COL,SP,ATL,0,0.507,14.38
"Dan Straily",5900,MIA,SP,WAS,0,0.607,11.81
"Trevor Williams",6000,PIT,SP,CHC,0,0.793,13.91
"Max Scherzer",12600,WAS,SP,MIA,0,0.37,28.04
"Marcus Stroman",5700,TOR,SP,NYY,0,0.661,13.37
"Lance Lynn",7900,NYY,SP,TOR,0,0.63,17.71
"Cole Hamels",8700,CHC,SP,PIT,0,0.375,19.07
"Carlos Carrasco",11200,CLE,SP,BAL,0,0.412,23.87
"Anthony DeSclafani",7000,CIN,SP,SFG,0,0.726,15.86
"Casey Kelly",4000,SFG,SP,CIN,0,0,11.65
"Brian Johnson",6800,BOS,SP,TBR,0,0.606,14.16
"Ryne Stanek",4000,TBR,SP,BOS,0,0.744,7.62
"David Hess",4100,BAL,SP,CLE,0,0.999,6.43
